%'depth(m)'   'Vp(km/s)'   'Vs(km/s)'	 'rho(gm/cc)'	'GR'	    'nphi' 
   2211.3728      2.8052      1.1397      2.2045     67.2613       .3141
   2211.5251      2.7285      1.0958      2.2325     69.2893       .3133
   2211.6775      2.6918      1.0293      2.2545     76.8221       .3432
   2211.8301      2.7595      1.0327      2.2641     83.4451       .3349
   2211.9824      2.7550      1.0284      2.2443     85.5089       .3631
   2212.1348      2.7276       .9633      2.2049     85.4924       .3315
   2212.2871      2.7286       .9746      2.1629     83.6666       .3884
   2212.4397      2.6969      1.0227      2.1560     83.3945       .4135
   2212.5920      2.7485      1.0755      2.1831     83.7203       .4354
   2212.7444      2.7511      1.0739      2.2124     87.0352       .3946
   2212.8967      2.7709      1.0762      2.2473     92.2999       .3751
   2213.0493      2.7794      1.1426      2.2401     93.4301       .3675
   2213.2017      2.8125      1.2174      2.2509     88.2176       .3629
   2213.3540      2.7818      1.1384      2.2621     80.1478       .3456
   2213.5063      2.7962      1.1384      2.2570     73.7730       .3405
   2213.6587      2.8085      1.1426      2.2355     74.1557       .3314
   2213.8113      2.7702      1.1545      2.2314     75.2870       .3297
   2213.9636      2.6241      1.1146      2.2615     79.7589       .3318
   2214.1160      2.6388      1.0635      2.2809     81.9511       .3394
   2214.2683      2.6374      1.0618      2.2694     80.5720       .3271
   2214.4209      2.6237      1.0694      2.2282     78.7049       .3158
   2214.5732      2.6421      1.1096      2.1953     78.2100       .3474
   2214.7256      2.7734      1.0827      2.1858     82.4856       .3650
   2214.8779      2.8168      1.1661      2.1977     82.5475       .3677
   2215.0305      2.8460      1.1644      2.2276     78.6710       .3335
   2215.1829      2.9192      1.1282      2.2161     74.0263       .3176
   2215.3352      2.9350      1.0878      2.1878     70.1944       .3202
   2215.4875      2.9536      1.1561      2.1848     70.2845       .3092
   2215.6399      2.9941      1.1894      2.1764     71.4353       .3379
   2215.7925      3.0460      1.1911      2.1737     73.3002       .3451
